Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-10-06 00:00:00-04:00,110.51097382766997,110.59793403072828,109.02404590639537,109.78925323486328,2681000,0.0,0.0
2014-10-07 00:00:00-04:00,109.14578556795816,109.14578556795816,107.20669504848047,107.23278045654297,3554900,0.0,0.0
2014-10-08 00:00:00-04:00,107.36321814104895,108.77188330209596,106.21541370450241,108.67623901367188,3610300,0.0,0.0
2014-10-09 00:00:00-04:00,108.45013404821913,108.47621945235788,106.35451812732163,106.74581909179688,4874700,0.0,0.0
2014-10-10 00:00:00-04:00,106.84149979856373,107.26757699798566,105.65021514892578,105.65021514892578,4214200,0.0,0.0
2014-10-13 00:00:00-04:00,106.12845097221525,107.11973623487397,104.57195757070994,104.73716735839844,3878600,0.0,0.0
2014-10-14 00:00:00-04:00,105.9458267298433,107.27624201827811,104.97193628179414,106.33712768554688,3768200,0.0,0.0
2014-10-15 00:00:00-04:00,105.26758881534546,105.31976626110232,101.14592884366569,104.5110855102539,7819000,0.0,0.0
2014-10-16 00:00:00-04:00,103.39805508709836,105.47627627066852,102.94588597807851,104.59803009033203,4492500,0.0,0.0
2014-10-17 00:00:00-04:00,106.12844173918256,107.71102040979162,105.89365983027061,107.16320037841797,4872400,0.0,0.0
2014-10-20 00:00:00-04:00,107.2936444873011,108.45014618382848,106.95452092728661,108.0936279296875,3676300,0.0,0.0
2014-10-21 00:00:00-04:00,108.8762444837714,110.64142813533724,108.63277179171173,110.5370864868164,5204500,0.0,0.0
2014-10-22 00:00:00-04:00,111.29354692163345,111.30224426702341,105.51104618562209,105.60669708251953,13844400,0.0,0.0
2014-10-23 00:00:00-04:00,105.45019443115692,106.85016872072131,105.26758995436136,106.11105346679688,7799700,0.0,0.0
2014-10-24 00:00:00-04:00,106.2588878973005,106.8153987409775,105.44151632734945,106.29367065429688,4013300,0.0,0.0
2014-10-27 00:00:00-04:00,106.19800650846604,106.28496670719593,105.44150319891712,106.18931579589844,2940300,0.0,0.0
2014-10-28 00:00:00-04:00,106.51974733069947,107.64146628235942,106.05019009739074,107.48494720458984,4159000,0.0,0.0
2014-10-29 00:00:00-04:00,108.24147899980102,108.24147899980102,106.5719396224234,107.02410888671875,3241700,0.0,0.0
2014-10-30 00:00:00-04:00,106.53714795993007,107.9284317638599,106.09368271570696,107.66756439208984,2569900,0.0,0.0
2014-10-31 00:00:00-04:00,108.71970570434755,109.46751834272105,108.45884499611417,108.61536407470703,4665300,0.0,0.0
2014-11-03 00:00:00-05:00,108.99797030633005,109.78056576534517,108.59797854597402,109.58926391601562,3902700,0.0,0.0
2014-11-04 00:00:00-05:00,109.51098668346187,110.18053639356599,108.91969318718374,109.42402648925781,3684600,0.0,0.0
2014-11-05 00:00:00-05:00,110.21121301296213,110.42112060155152,108.62814132066678,108.64563751220703,3334000,0.73,0.0
2014-11-06 00:00:00-05:00,108.87304930829139,109.15292833796443,107.90221746442874,108.96051025390625,2341900,0.0,0.0
2014-11-07 00:00:00-05:00,109.2666083085225,109.27535640344826,108.60189322383285,108.84678649902344,2366700,0.0,0.0
2014-11-10 00:00:00-05:00,109.21411319212308,109.31906362075095,108.27826739076413,109.01294708251953,2622700,0.0,0.0
2014-11-11 00:00:00-05:00,108.96048798755284,109.96630533868856,108.84678277593127,109.64269256591797,3053500,0.0,0.0
2014-11-12 00:00:00-05:00,108.89925789000718,110.36862407223931,108.86427218652061,110.0887451171875,3075000,0.0,0.0
2014-11-13 00:00:00-05:00,109.975047128784,112.79133972510054,109.975047128784,112.41524505615234,5813900,0.0,0.0
2014-11-14 00:00:00-05:00,112.41525322102302,113.50853158296846,111.82050952521104,112.7038803100586,6235600,0.0,0.0
2014-11-17 00:00:00-05:00,112.56393166388796,112.97500537440597,111.55812096111215,112.31903839111328,3752900,0.0,0.0
2014-11-18 00:00:00-05:00,112.43275142966665,114.86420148262087,111.98668530874924,114.27820587158203,5701200,0.0,0.0
2014-11-19 00:00:00-05:00,114.2169738322166,116.09742062227168,113.91960532071572,115.10909271240234,5037600,0.0,0.0
